id,original_url,short_url,created_at,user_id
0,icMSGrUj,http://ofdafnyylfqe.biz/34543gsfgj,2026-03-03T09:12:02.6253107Z,14
0,BFCjnolV,http://ofdafnyylfqe.biz/34543gsfgj,2026-03-03T09:12:15.2166594Z,14
0,http://ofdafnyylfqe.biz/34543gsfgj,QqUYhmPS,2026-03-03T09:58:38.3567154Z,14
0,http://ofdafnyylfqe.biz/fghjfhgj,BZVcBDca,2026-03-03T10:01:23.2767219Z,14
0,http://o0yp21g99rn.com/mnwfx7ef,gTpMCsQC,2026-03-06T13:25:43.917463Z,3259039679386573452,
0,http://sqyysebtkkhvj.yandex,YVqyEKMV,2026-03-06T13:25:43.919069Z,3259039679386573452,
0,http://m77dwizvlh.com,JqPrOTuS,2026-03-06T13:25:43.9200999Z,3259039679386573452,
0,http://vffbeoilxr.com/ad26fqaukji,nFdYWZJo,2026-03-06T13:25:43.9206201Z,3259039679386573452,
0,http://t2v8b7pwyucd.ru/ak9ha0iaa,RkdhTVeY,2026-03-06T13:25:43.9216664Z,3259039679386573452,
0,http://ulnotiwtafjtj.net,HbBTZNKI,2026-03-06T13:25:43.9227611Z,3259039679386573452,
0,http://d3vb4eabf.yandex,XrAfsUAL,2026-03-06T13:25:43.9238073Z,3259039679386573452,
0,http://dnrvcun.biz,DnDSYzTr,2026-03-06T13:25:43.9248554Z,3259039679386573452,
0,http://dlrjyjoisarf2.net/b6bv32b1/dgithtif,SlefOXtb,2026-03-06T13:25:43.9259614Z,3259039679386573452,
0,http://q1n350n8pdezhv.net,dgxGzaxT,2026-03-06T13:25:43.9270518Z,3259039679386573452,
0,http://ffcaueo.net/gw3fld,ucaRzfjd,2026-03-06T13:25:43.9275813Z,3259039679386573452,
0,deletedhttp://dlrjyjoisarf2.net/b6bv32b1/dgithtif,SlefOXtb,2026-03-06T13:25:43.9259614Z,3259039679386573452,2026-03-06T13:25:49.602645Z
0,deletedhttp://ffcaueo.net/gw3fld,ucaRzfjd,2026-03-06T13:25:43.9275813Z,3259039679386573452,2026-03-06T13:25:49.602645Z
0,deletedhttp://o0yp21g99rn.com/mnwfx7ef,gTpMCsQC,2026-03-06T13:25:43.917463Z,3259039679386573452,2026-03-06T13:25:49.602645Z
0,deletedhttp://ulnotiwtafjtj.net,HbBTZNKI,2026-03-06T13:25:43.9227611Z,3259039679386573452,2026-03-06T13:25:49.602645Z
0,deletedhttp://q1n350n8pdezhv.net,dgxGzaxT,2026-03-06T13:25:43.9270518Z,3259039679386573452,2026-03-06T13:25:49.602645Z
0,deletedhttp://sqyysebtkkhvj.yandex,YVqyEKMV,2026-03-06T13:25:43.919069Z,3259039679386573452,2026-03-06T13:25:49.602645Z
0,deletedhttp://m77dwizvlh.com,JqPrOTuS,2026-03-06T13:25:43.9200999Z,3259039679386573452,2026-03-06T13:25:49.602645Z
0,deletedhttp://vffbeoilxr.com/ad26fqaukji,nFdYWZJo,2026-03-06T13:25:43.9206201Z,3259039679386573452,2026-03-06T13:25:49.602645Z
0,deletedhttp://t2v8b7pwyucd.ru/ak9ha0iaa,RkdhTVeY,2026-03-06T13:25:43.9216664Z,3259039679386573452,2026-03-06T13:25:49.602645Z
0,deletedhttp://d3vb4eabf.yandex,XrAfsUAL,2026-03-06T13:25:43.9238073Z,3259039679386573452,2026-03-06T13:25:49.602645Z
0,deletedhttp://dnrvcun.biz,DnDSYzTr,2026-03-06T13:25:43.9248554Z,3259039679386573452,2026-03-06T13:25:49.602645Z
0,http://lshmjj.net,pqSMeBYp,2026-03-06T13:25:49.6198108Z,2608839665630590490,
0,deletedhttp://lshmjj.net,pqSMeBYp,2026-03-06T13:25:49.6198108Z,2608839665630590490,2026-03-06T13:25:49.9012391Z
0,http://qpnof5soq7i.yandex/hwei0w2zh,BkKlOzuO,2026-03-06T13:25:50.6229731Z,2608839665630590490,
0,http://khkfbowxtr.ru/f4vl2khqfk5hp,eDfJXksO,2026-03-06T13:25:50.6252077Z,2608839665630590490,
0,http://iprjaaqmjg9j.biz/eumrhbpd/xppry6wlbqvr/p6qjpqivti,xOgPWvAY,2026-03-06T13:25:50.6273615Z,2608839665630590490,
0,http://ehjs9dd6ctyt.biz/s3ruudbgj,zhdiVHkd,2026-03-06T13:25:50.6278912Z,2608839665630590490,
0,http://odar5yfvfyc45.net/bcswkbchoxddwf/lh4ika5uf9f,foqBeHbn,2026-03-06T13:25:50.6278912Z,2608839665630590490,
0,http://vk6xtn08fp.yandex,GLWDDmHU,2026-03-06T13:25:50.6284254Z,2608839665630590490,
0,http://pj9r4aj.ru/rcdem7,FPIaiVuM,2026-03-06T13:25:50.6284254Z,2608839665630590490,
0,http://ip14veyfiq.net/ixh4s/x03qbl7ch4hn,vMiYrWta,2026-03-06T13:25:50.6294788Z,2608839665630590490,
0,http://u8uo6cjjkefcg.net,WBIpzyxz,2026-03-06T13:25:50.6294788Z,2608839665630590490,
0,http://jyhjds04.biz,XLclhabF,2026-03-06T13:25:50.6300083Z,2608839665630590490,
0,http://tpc2opytspee5.biz/xrv27a73ix9rvq/wyiqj1jki7h5,xDtFnzYU,2026-03-06T13:25:50.6305321Z,2608839665630590490,
0,http://iuqtxkapvm4.yandex/kx0wj8yccir6m/wwfkbf8fmjjw,dolbLZgm,2026-03-06T13:25:50.6305321Z,2608839665630590490,
0,http://gudkkapev.ru,xAkwFftg,2026-03-06T13:25:50.631654Z,2608839665630590490,
0,http://xct3ca5bmg9sb.net/jltxnuavjj,iDlvAhky,2026-03-06T13:25:50.631654Z,2608839665630590490,
0,http://soo8v7s7q4ilgg.net/gsihr7btrn3/sa2elxl3trly2,VHdXvzAa,2026-03-06T13:25:50.6321696Z,2608839665630590490,
0,http://xefpkug5gyw5p.yandex,RQjENmEm,2026-03-06T13:25:50.6321696Z,2608839665630590490,
0,http://qmpkb3o9qifux8.biz/z7y9bvamel/pv9fwhlyqwteo,xaSIiJHy,2026-03-06T13:25:50.632696Z,2608839665630590490,
0,http://bwahek9l.ru,FFXVTXuq,2026-03-06T13:25:50.632696Z,2608839665630590490,
0,http://pav4cnrx.com/batbnrg5k/czjbjffpz/gl3xdim,KeNifhww,2026-03-06T13:25:50.632696Z,2608839665630590490,
0,http://odajsisy.yandex/mmnvmpo/b7inbm7v,FwOwxmWm,2026-03-06T13:25:50.6337432Z,2608839665630590490,
0,http://rwbnfkca3rd5jq.net,ozFtwHqv,2026-03-06T13:25:50.6347985Z,2608839665630590490,
